"level"	"PropVariance"	"Df"	"SumofSquares"	"F"	"pval"	"Distance_used"
""	"Region"	"0.468572566463627"	"2"	"2.60079933119973"	"18.0753514145538"	"0.001"	"Phi-st"
"1"	"Site within Region"	"0.117979085469782"	"6"	"0.654839716505645"	"1.66456423184503"	"0.06"	"Phi-st"
"2"	"Ind within Site"	"0.308845970775681"	"20"	"1.71424119064272"	"2.21442843986443"	"0.012"	"Phi-st"
"3"	"Sample within Ind"	"0.104602376808321"	"15"	"0.580592657607284"	NA	NA	"Phi-st"
"4"	"Total"	"0.999999999517411"	NA	NA	NA	NA	"Phi-st"
"5"	"Flow within Region"	"0.0214161185240332"	"2"	"0.118869585461579"	"0.818833423741869"	"0.532"	"Phi-st"
"6"	"Site within Flow + Region"	"0.0965629669457487"	"4"	"0.535970131044066"	"2.04360705448802"	"0.033"	"Phi-st"
"7"	"Region"	"0.093021913987635"	"2"	"1.82745532975646"	"2.10253066326072"	"0.094"	"Euclidian"
"11"	"Site within Region"	"0.12427668939092"	"6"	"2.44146877500406"	"0.926211909049381"	"0.51"	"Euclidian"
"21"	"Ind within Site"	"0.521462441245676"	"20"	"10.2443529343945"	"1.49708465328878"	"0.091"	"Euclidian"
"31"	"Sample within Ind"	"0.261238955375769"	"15"	"5.13215113381691"	NA	NA	"Euclidian"
"41"	"Total"	"1"	NA	NA	NA	NA	"Euclidian"
"51"	"Flow within Region"	"0.0327774273833334"	"2"	"0.643926595354081"	"0.731136298818815"	"0.545"	"Euclidian"
"61"	"Site within Flow + Region"	"0.0914992620075862"	"4"	"1.79754217964998"	"1.02289141941266"	"0.431"	"Euclidian"
"8"	"Region"	"0.0471999096403748"	"2"	"5.38837598690137"	"1.01553112496292"	"0.413"	"Hellinger"
"12"	"Site within Region"	"0.13490820906927"	"6"	"15.4012191913796"	"0.96218653211536"	"0.634"	"Hellinger"
"22"	"Ind within Site"	"0.477775259017749"	"20"	"54.5431707908322"	"1.05355463625681"	"0.339"	"Hellinger"
"32"	"Sample within Ind"	"0.340116622272607"	"15"	"38.8279607771122"	NA	NA	"Hellinger"
"42"	"Total"	"1"	NA	NA	NA	NA	"Hellinger"
"52"	"Flow within Region"	"0.0445741431094274"	"2"	"5.08861657146249"	"0.957025939707478"	"0.674"	"Hellinger"
"62"	"Site within Flow + Region"	"0.0903340659598423"	"4"	"10.3126026199171"	"0.966415115774962"	"0.568"	"Hellinger"
"9"	"Region"	"0.0447888537214648"	"2"	"0.702382519296301"	"0.961223604715238"	"0.549"	"Jaccard (presence/absence)"
"13"	"Site within Region"	"0.129635232037148"	"6"	"2.03295046205158"	"0.915973331067399"	"0.803"	"Jaccard (presence/absence)"
"23"	"Ind within Site"	"0.476511471683076"	"20"	"7.47269242556987"	"1.02383273742528"	"0.392"	"Jaccard (presence/absence)"
"33"	"Sample within Ind"	"0.349064442558312"	"15"	"5.47405754310177"	NA	NA	"Jaccard (presence/absence)"
"43"	"Total"	"1"	NA	NA	NA	NA	"Jaccard (presence/absence)"
"53"	"Flow within Region"	"0.0420482070820591"	"2"	"0.659403471360449"	"0.897912084366505"	"0.712"	"Jaccard (presence/absence)"
"63"	"Site within Flow + Region"	"0.0875870249550887"	"4"	"1.37354699069113"	"0.928305265617215"	"0.707"	"Jaccard (presence/absence)"
